users in this chat 
______‌‌_ [187769689] = 1960
‮👑bahahs_gnik👑_kcolb_=_vp_izabdeZ_CME [119989724] = 996
Fαrzαd_@H4J [160522435] = 612
گروه_های_رایگان_U.B🆓_Ramin [140925196] = 446
@CяєєƊ [118682430] = 389
‮katohsorlfa_⛄⛄_‮MATROPER [134618808] = 204
😈mr.error😈 [77750573] = 169
‮emaGnoeN_‮ilA [100577715] = 158
مــٍٍٍٍٍــىـــــًًًٍٍℳahdiــــٍٍٍدىًًًًًًًًًًًٍٍٍٍٍٍٍٍٍٍٍٍٍٍٍٍٍٍٍٍٍٍ_پـٓٓـــســBoyـــرُُُُُُُُُُ_بـــــŊiCeــــدٰٰٰٕ [180087690] = 151
__@CreeDs@__ [190133495] = 113
‮💍=>ṡһѧһѧɞ_Ԁѧяҡ<=💍 [146352807] = 88
__@Creed@__ [198240062] = 86
Taha💀_Guardian👾 [150061215] = 79
<am>offline<\ir> [166846849] = 79
erfan [167040744] = 68
🌐E_M_C🌐_@_@X [161389560] = 64
🔱sudo_Shadow_king_🔱_╭∩╮("︶︿︶×)╭∩╮ [159040152] = 56
🔱Apex🔱king⚜MARG.. [112392827] = 54
Mehran_HPR [128556958] = 52
▼⇜нιѕαмι∂нαM⇝▲ [122922722] = 50
KĪnG_Øf_Snœóker [121167108] = 50
<\Namardam_>_🖖🤘🖖🤘🖖_____👁____.____👁_______________👃____________________👄_________________🤘_i'm_MeHrAn [156099494] = 49
्ु_₰╮╰✘امیر_➊_✘╯╭₰_्ु [144152859] = 48
P_M_C [157094408] = 43
👑LOOPER👑 [164175989] = 42
ⓨⓐⓢⓔⓡ¹²³⁴_report [166538399] = 42
😎EhsanFox😎_🔱Rξβξℓ🔱 [146661928] = 35
‮‮™‮a_n_i_m [83817319] = 30
👑IղƒҽɾղɑӀ_👑 [175531746] = 29
‮™_\-/_M_!_N [161731036] = 29
UB_Helper1 [179094550] = 28
‮™namas_Matroper [139837032] = 27
👑Mr.ΠR👑_Report💎 [61690296] = 26
👑CEWER👑_🔱Ŧ[_t_[₣]_B_]β🔱_⚠️ĆΞЖΞŘ⚠️XOX [153545455] = 26
